[Q3->Q4] ep0 loss8.203 codeMSE 0.795 recRelL2 1.045 top1 0.012 | HYBRID top1 0.711
[Q3->Q4] ep1 loss1.869 codeMSE 0.763 recRelL2 1.034 top1 0.020 | HYBRID top1 0.711
[Q3->Q4] ep2 loss1.791 codeMSE 0.751 recRelL2 0.999 top1 0.017 | HYBRID top1 0.711
[Q3->Q4] ep3 loss1.703 codeMSE 0.736 recRelL2 0.962 top1 0.047 | HYBRID top1 0.711
[Q3->Q4] ep4 loss1.607 codeMSE 0.698 recRelL2 0.923 top1 0.082 | HYBRID top1 0.711
[Q3->Q4] ep5 loss1.515 codeMSE 0.692 recRelL2 0.903 top1 0.108 | HYBRID top1 0.711
[Q3->Q4] ep6 loss1.440 codeMSE 0.650 recRelL2 0.867 top1 0.202 | HYBRID top1 0.711
[Q3->Q4] ep7 loss1.362 codeMSE 0.565 recRelL2 0.850 top1 0.252 | HYBRID top1 0.711
[Q3->Q4] ep8 loss1.246 codeMSE 0.536 recRelL2 0.821 top1 0.291 | HYBRID top1 0.711
[Q3->Q4] ep9 loss1.176 codeMSE 0.525 recRelL2 0.797 top1 0.313 | HYBRID top1 0.711
[Q3->Q4] ep10 loss1.138 codeMSE 0.522 recRelL2 0.776 top1 0.368 | HYBRID top1 0.711
[Q3->Q4] ep11 loss1.103 codeMSE 0.512 recRelL2 0.762 top1 0.372 | HYBRID top1 0.711
[Q3->Q4] ep12 loss1.078 codeMSE 0.505 recRelL2 0.756 top1 0.369 | HYBRID top1 0.711
[Q3->Q4] ep13 loss1.059 codeMSE 0.500 recRelL2 0.742 top1 0.402 | HYBRID top1 0.711
[Q3->Q4] ep14 loss1.041 codeMSE 0.508 recRelL2 0.735 top1 0.401 | HYBRID top1 0.711
[Q3->Q4] ep15 loss1.026 codeMSE 0.487 recRelL2 0.725 top1 0.416 | HYBRID top1 0.711
[Q3->Q4] ep16 loss0.989 codeMSE 0.466 recRelL2 0.710 top1 0.438 | HYBRID top1 0.711
[Q3->Q4] ep17 loss0.961 codeMSE 0.464 recRelL2 0.707 top1 0.455 | HYBRID top1 0.711
[Q3->Q4] ep18 loss0.950 codeMSE 0.464 recRelL2 0.702 top1 0.432 | HYBRID top1 0.711
[Q3->Q4] ep19 loss0.942 codeMSE 0.461 recRelL2 0.693 top1 0.463 | HYBRID top1 0.711
[Q3->Q4] ep20 loss0.933 codeMSE 0.460 recRelL2 0.694 top1 0.451 | HYBRID top1 0.711
[Q3->Q4] ep21 loss0.926 codeMSE 0.461 recRelL2 0.682 top1 0.472 | HYBRID top1 0.711
[Q3->Q4] ep22 loss0.919 codeMSE 0.463 recRelL2 0.680 top1 0.459 | HYBRID top1 0.711
[Q3->Q4] ep23 loss0.913 codeMSE 0.457 recRelL2 0.675 top1 0.490 | HYBRID top1 0.711
[Q3->Q4] ep24 loss0.905 codeMSE 0.456 recRelL2 0.672 top1 0.475 | HYBRID top1 0.711
[Q3->Q4] ep25 loss0.889 codeMSE 0.447 recRelL2 0.659 top1 0.509 | HYBRID top1 0.711
[Q3->Q4] ep26 loss0.872 codeMSE 0.445 recRelL2 0.657 top1 0.507 | HYBRID top1 0.711
[Q3->Q4] ep27 loss0.867 codeMSE 0.444 recRelL2 0.655 top1 0.497 | HYBRID top1 0.711
[Q3->Q4] ep28 loss0.843 codeMSE 0.432 recRelL2 0.643 top1 0.502 | HYBRID top1 0.711
[Q3->Q4] ep29 loss0.835 codeMSE 0.432 recRelL2 0.645 top1 0.534 | HYBRID top1 0.711
TRANSITION DONE runs/T1_3_Q3Q4_strong
