[Q1->Q2] ep0 loss0.372 codeMSE 0.034 recRelL2 0.292 top1 0.694 | HYBRID top1 0.715
[Q1->Q2] ep1 loss0.100 codeMSE 0.029 recRelL2 0.241 top1 0.707 | HYBRID top1 0.715
[Q1->Q2] ep2 loss0.080 codeMSE 0.027 recRelL2 0.218 top1 0.712 | HYBRID top1 0.715
[Q1->Q2] ep3 loss0.070 codeMSE 0.022 recRelL2 0.203 top1 0.713 | HYBRID top1 0.715
[Q1->Q2] ep4 loss0.062 codeMSE 0.021 recRelL2 0.196 top1 0.714 | HYBRID top1 0.715
[Q1->Q2] ep5 loss0.059 codeMSE 0.021 recRelL2 0.191 top1 0.714 | HYBRID top1 0.715
[Q1->Q2] ep6 loss0.056 codeMSE 0.020 recRelL2 0.185 top1 0.714 | HYBRID top1 0.715
[Q1->Q2] ep7 loss0.054 codeMSE 0.020 recRelL2 0.180 top1 0.715 | HYBRID top1 0.715
[Q1->Q2] ep8 loss0.052 codeMSE 0.020 recRelL2 0.179 top1 0.714 | HYBRID top1 0.715
[Q1->Q2] ep9 loss0.051 codeMSE 0.020 recRelL2 0.176 top1 0.712 | HYBRID top1 0.715
[Q1->Q2] ep10 loss0.049 codeMSE 0.019 recRelL2 0.170 top1 0.715 | HYBRID top1 0.715
[Q1->Q2] ep11 loss0.048 codeMSE 0.019 recRelL2 0.168 top1 0.714 | HYBRID top1 0.715
[Q1->Q2] ep12 loss0.047 codeMSE 0.019 recRelL2 0.169 top1 0.715 | HYBRID top1 0.715
[Q1->Q2] ep13 loss0.043 codeMSE 0.005 recRelL2 0.162 top1 0.716 | HYBRID top1 0.715
[Q1->Q2] ep14 loss0.031 codeMSE 0.006 recRelL2 0.161 top1 0.716 | HYBRID top1 0.715
[Q1->Q2] ep15 loss0.031 codeMSE 0.005 recRelL2 0.161 top1 0.716 | HYBRID top1 0.715
[Q1->Q2] ep16 loss0.030 codeMSE 0.005 recRelL2 0.157 top1 0.716 | HYBRID top1 0.715
[Q1->Q2] ep17 loss0.029 codeMSE 0.005 recRelL2 0.160 top1 0.713 | HYBRID top1 0.715
[Q1->Q2] ep18 loss0.029 codeMSE 0.005 recRelL2 0.157 top1 0.715 | HYBRID top1 0.715
[Q1->Q2] ep19 loss0.029 codeMSE 0.005 recRelL2 0.156 top1 0.715 | HYBRID top1 0.715
[Q1->Q2] ep20 loss0.028 codeMSE 0.005 recRelL2 0.154 top1 0.715 | HYBRID top1 0.715
[Q1->Q2] ep21 loss0.028 codeMSE 0.005 recRelL2 0.151 top1 0.716 | HYBRID top1 0.715
[Q1->Q2] ep22 loss0.028 codeMSE 0.004 recRelL2 0.153 top1 0.715 | HYBRID top1 0.715
[Q1->Q2] ep23 loss0.027 codeMSE 0.005 recRelL2 0.149 top1 0.714 | HYBRID top1 0.715
[Q1->Q2] ep24 loss0.027 codeMSE 0.005 recRelL2 0.153 top1 0.714 | HYBRID top1 0.715
[Q1->Q2] ep25 loss0.027 codeMSE 0.005 recRelL2 0.148 top1 0.717 | HYBRID top1 0.715
[Q1->Q2] ep26 loss0.026 codeMSE 0.005 recRelL2 0.149 top1 0.714 | HYBRID top1 0.715
[Q1->Q2] ep27 loss0.026 codeMSE 0.004 recRelL2 0.147 top1 0.717 | HYBRID top1 0.715
[Q1->Q2] ep28 loss0.026 codeMSE 0.005 recRelL2 0.146 top1 0.716 | HYBRID top1 0.715
[Q1->Q2] ep29 loss0.058 codeMSE 0.008 recRelL2 0.201 top1 0.715 | HYBRID top1 0.715
TRANSITION DONE runs/phase3/T_Q1_Q2
